Wall time,Step,Value
1781426596.6277003,0,-0.004583036061376333
1781426598.8631945,2,-0.015559802763164043
1781426599.9825578,3,-0.015556886792182922
1781426601.0914435,4,-0.01469199638813734
1781426606.7930355,9,-0.015560360625386238
1781426607.9244595,10,-0.015470246784389019
1781426609.0319338,11,-0.015671052038669586
1781426612.4102426,14,-0.01602434366941452
1781426613.505951,15,-0.01610756665468216
1781426614.6238573,16,-0.016152704134583473
1781426616.7776358,18,-0.016437478363513947
1781426617.8621829,19,-0.01640588790178299
1781426618.9854317,20,-0.01646508276462555
1781426621.219492,22,-0.01664412021636963
1781426622.363197,23,-0.01667480170726776
1781426625.8426843,26,-0.016783012077212334
1781426626.9704351,27,-0.016822030767798424
1781426628.0651073,28,-0.017053650692105293
1781426629.1537254,29,-0.01699547842144966
1781426630.270417,30,-0.017197810113430023
1781426633.6611154,33,-0.017729606479406357
1781426634.7427058,34,-0.01790289208292961
1781426636.9624486,36,-0.01824777014553547
1781426638.0606472,37,-0.01864861324429512
1781426639.1825655,38,-0.018702872097492218
1781426640.2769907,39,-0.01890391670167446
1781426641.3998973,40,-0.01899697817862034
1781426649.1712003,47,-0.020455405116081238
1781426650.2600238,48,-0.020805563777685165
1781426651.3625114,49,-0.02120456099510193
1781426652.4771283,50,-0.021462544798851013
1781426653.589864,51,-0.021801114082336426
1781426654.7229261,52,-0.02208612486720085
1781426655.8450449,53,-0.022161290049552917
1781426657.0044506,54,-0.02248680219054222
1781426658.157435,55,-0.022535163909196854
1781426660.466581,57,-0.023532448336482048
1781426663.8748033,60,-0.024200504645705223
1781426664.984567,61,-0.024460941553115845
1781426666.0839353,62,-0.024980073794722557
1781426667.217226,63,-0.025157395750284195
1781426669.556514,65,-0.02668258175253868
1781426670.6891923,66,-0.026758700609207153
1781426671.808955,67,-0.0270068421959877
1781426672.9339142,68,-0.027729254215955734
1781426675.1536803,70,-0.029206901788711548
1781426676.294606,71,-0.029874231666326523
1781426678.558939,73,-0.031726591289043427
1781426680.7322042,75,-0.03326728567481041
1781426682.9958825,77,-0.03510155528783798
1781426684.1919582,78,-0.03606104850769043
1781426685.2828913,79,-0.0389891155064106
1781426686.3823647,80,-0.04005417972803116
1781426688.6123638,82,-0.042694997042417526
1781426689.7174745,83,-0.04495690390467644
1781426691.954286,85,-0.048906974494457245
1781426693.1259384,86,-0.049607884138822556
1781426694.2480295,87,-0.051679354161024094
1781426696.4627748,89,-0.05576059967279434
1781426697.556929,90,-0.05913852900266647
1781426703.124946,95,-0.07439149916172028
1781426707.6141229,99,-0.08843108266592026
1781426708.7660284,100,-0.09321453422307968
1781426712.1131217,103,-0.10624302923679352
1781426713.2294626,104,-0.11014457792043686
1781426715.4413865,106,-0.12187577784061432
1781426716.5323029,107,-0.13117185235023499
1781426717.617218,108,-0.1312526911497116
1781426718.7082784,109,-0.144557386636734
1781426719.8122263,110,-0.13690920174121857
1781426720.9109962,111,-0.14617159962654114
1781426722.031192,112,-0.16161590814590454
1781426724.2439244,114,-0.1829705536365509
1781426725.3380134,115,-0.1757112443447113
1781426726.3993964,116,-0.20568864047527313
1781426730.7694554,120,-0.2394087016582489
1781426731.8424892,121,-0.3027794361114502
1781426736.2038078,125,-0.341531366109848
1781426737.3104522,126,-0.40029215812683105
1781426739.5376515,128,-0.4222918748855591
1781426740.617051,129,-0.4269498288631439
1781426741.7264254,130,-0.41633152961730957
1781426742.8716614,131,-0.4161129891872406
1781426743.9690816,132,-0.4267348051071167
1781426746.2125862,134,-0.4258120059967041
1781426748.4085867,136,-0.4291791319847107
