Wall time,Step,Value
1781426596.6294029,0,-0.0018280706135556102
1781426598.86424,2,-0.004637524485588074
1781426599.9838145,3,-0.004506661556661129
1781426601.092945,4,-0.004198284819722176
1781426606.794093,9,-0.004350957460701466
1781426607.926116,10,-0.004201213829219341
1781426609.0331354,11,-0.004311473574489355
1781426612.411911,14,-0.00428721634671092
1781426613.5070639,15,-0.004275384824723005
1781426614.6248722,16,-0.004305641166865826
1781426616.7787352,18,-0.004441235214471817
1781426617.8637822,19,-0.004349285736680031
1781426618.9869199,20,-0.004388716537505388
1781426621.2212136,22,-0.0044264658354222775
1781426622.364964,23,-0.0044859908521175385
1781426625.8437817,26,-0.004427294246852398
1781426626.9720187,27,-0.004443477839231491
1781426628.0664048,28,-0.004490159451961517
1781426629.1547604,29,-0.004458905663341284
1781426630.2720904,30,-0.004480055067688227
1781426633.6622934,33,-0.004567310214042664
1781426634.743731,34,-0.004620848223567009
1781426636.9634905,36,-0.004634153097867966
1781426638.0624006,37,-0.00473862886428833
1781426639.1838555,38,-0.004743149969726801
1781426640.2779958,39,-0.004769686609506607
1781426641.401615,40,-0.004796267952769995
1781426649.1728659,47,-0.005052804946899414
1781426650.261176,48,-0.005072205327451229
1781426651.3635848,49,-0.0051723383367061615
1781426652.478277,50,-0.0051560672000050545
1781426653.5910177,51,-0.0052157212048769
1781426654.7239408,52,-0.005335875786840916
1781426655.8461049,53,-0.005273078568279743
1781426657.0059724,54,-0.0053636557422578335
1781426658.158688,55,-0.005366191267967224
1781426660.46811,57,-0.0056357672438025475
1781426663.8759027,60,-0.005618193186819553
1781426664.9861424,61,-0.005702110938727856
1781426666.0850458,62,-0.005831806920468807
1781426667.218386,63,-0.005842126905918121
1781426669.557634,65,-0.006073448807001114
1781426670.6911454,66,-0.006121817976236343
1781426671.8105576,67,-0.006136181764304638
1781426672.935507,68,-0.006250047590583563
1781426675.1547399,70,-0.00645175576210022
1781426676.2961655,71,-0.006585302762687206
1781426678.5599964,73,-0.0069133928045630455
1781426680.7333188,75,-0.00723379198461771
1781426682.9975603,77,-0.00756572000682354
1781426684.1931555,78,-0.0077296895906329155
1781426685.2841527,79,-0.008161625824868679
1781426686.3836744,80,-0.008429253473877907
1781426688.6139436,82,-0.008813837543129921
1781426689.718563,83,-0.009184032678604126
1781426691.955282,85,-0.009985147044062614
1781426693.1269667,86,-0.010068032890558243
1781426694.24978,87,-0.010477147065103054
1781426696.4646585,89,-0.011275973170995712
1781426697.558701,90,-0.011800376698374748
1781426703.126577,95,-0.014564293436706066
1781426707.616024,99,-0.017363877967000008
1781426708.7674623,100,-0.018154829740524292
1781426712.1141794,103,-0.020680436864495277
1781426713.2306502,104,-0.021209966391324997
1781426715.443008,106,-0.023858770728111267
1781426716.5333652,107,-0.025666890665888786
1781426717.6182396,108,-0.025797691196203232
1781426718.7093964,109,-0.028455566614866257
1781426719.8137305,110,-0.026360265910625458
1781426720.9120255,111,-0.028085744008421898
1781426722.032353,112,-0.03167874366044998
1781426724.2455375,114,-0.0352950319647789
1781426725.3392808,115,-0.03362329304218292
1781426726.4004433,116,-0.038526516407728195
1781426730.7707233,120,-0.045728545635938644
1781426731.8435903,121,-0.06019134446978569
1781426736.2050037,125,-0.06693843007087708
1781426737.3114626,126,-0.07829219102859497
1781426739.5391686,128,-0.08355888724327087
1781426740.6181252,129,-0.08416612446308136
1781426741.7279341,130,-0.08220888674259186
1781426742.8731532,131,-0.08140067756175995
1781426743.9702392,132,-0.08296298235654831
1781426746.21381,134,-0.08244693279266357
1781426748.410081,136,-0.08279597759246826
1781426749.5028243,137,-0.08218100666999817
1781426750.6276543,138,-0.08213388919830322
1781426751.7812521,139,-0.08259113132953644
1781426756.1968694,143,-0.07827650010585785
1781426757.3330126,144,-0.07911279052495956
1781426758.446387,145,-0.07829581201076508
1781426759.5714555,146,-0.07677458971738815
1781426760.7182093,147,-0.07691816985607147
1781426764.170823,150,-0.07765491306781769
1781426768.6498954,154,-0.07364028692245483
1781426770.8972063,156,-0.07300648093223572
1781426771.9653664,157,-0.07322476804256439
1781426774.1338623,159,-0.06775856018066406
1781426775.2272687,160,-0.06556838750839233
1781426777.4320087,162,-0.06665075570344925
1781426778.5754867,163,-0.06364411115646362
1781426779.6541648,164,-0.05062735080718994
1781426781.9003918,166,-0.06307113170623779
1781426784.1168637,168,-0.06614339351654053
1781426786.314809,170,-0.06281641870737076
1781426787.4600482,171,-0.06359754502773285
1781426788.5369203,172,-0.06303311884403229
1781426790.7739406,174,-0.061830293387174606
1781426791.8871677,175,-0.06170722097158432
1781426793.0269022,176,-0.06084034964442253
1781426794.150437,177,-0.060135211795568466
1781426795.259598,178,-0.059685807675123215
1781426797.4625378,180,-0.05817652866244316
1781426798.5835595,181,-0.057233791798353195
1781426799.7293046,182,-0.05706147477030754
1781426800.9014585,183,-0.05692571401596069
1781426802.0505648,184,-0.05631288141012192
1781426803.1808736,185,-0.055661361664533615
1781426804.312001,186,-0.05566487833857536
1781426807.6491385,189,-0.05379723012447357
1781426808.7430859,190,-0.05297866091132164
1781426809.844044,191,-0.052568476647138596
1781426810.9906387,192,-0.052086241543293
1781426814.286314,195,-0.0502287857234478
1781426817.6039176,198,-0.04999033734202385
1781426818.7213807,199,-0.05054990574717522
1781426819.8403394,200,-0.0485772043466568
1781426822.0199344,202,-0.047458797693252563
1781426823.083702,203,-0.04725981876254082
1781426824.2153862,204,-0.04494365677237511
1781426825.3481677,205,-0.04577220603823662
1781426827.6444786,207,-0.04521840810775757
1781426828.789226,208,-0.04460405558347702
1781426829.9284153,209,-0.0438292920589447
1781426832.1979008,211,-0.04372693598270416
1781426834.4502585,213,-0.04359788820147514
1781426836.7746103,215,-0.0426751933991909
1781426837.9276416,216,-0.041405804455280304
1781426840.2225375,218,-0.04106589034199715
1781426841.3824148,219,-0.04056038707494736
1781426842.540548,220,-0.040322307497262955
1781426843.6488333,221,-0.03969263285398483
1781426844.792798,222,-0.039405252784490585
1781426847.0579355,224,-0.03850942105054855
1781426848.1995788,225,-0.038248032331466675
1781426849.3018024,226,-0.03781069815158844
1781426852.6107166,229,-0.0368071049451828
1781426854.7731917,231,-0.03572558984160423
1781426855.8722787,232,-0.03562918305397034
1781426858.106687,234,-0.03484665974974632
1781426859.2159812,235,-0.03503347188234329
1781426860.3444264,236,-0.03428668528795242
1781426861.4260695,237,-0.0340413823723793
1781426862.5514774,238,-0.03376314789056778
1781426863.6653237,239,-0.033247414976358414
1781426865.935332,241,-0.032799769192934036
1781426867.0074801,242,-0.03253807872533798
1781426869.1633806,244,-0.031762175261974335
1781426870.2643561,245,-0.03175739571452141
1781426871.3536954,246,-0.03130202740430832
