Wall time,Step,Value
1781426596.6283886,0,-0.0010154955089092255
1781426598.8636296,2,-0.013572683557868004
1781426599.9831219,3,-0.013513719663023949
1781426601.0920534,4,-0.013256747275590897
1781426606.7934585,9,-0.013126354664564133
1781426607.9251578,10,-0.013148244470357895
1781426609.032451,11,-0.013160883449018002
1781426612.4109468,14,-0.012958372943103313
1781426613.5063694,15,-0.013017430901527405
1781426614.6242757,16,-0.012962454929947853
1781426616.7780695,18,-0.012894540093839169
1781426617.8628242,19,-0.012938509695231915
1781426618.9860332,20,-0.012924018315970898
1781426621.220088,22,-0.012720960192382336
1781426622.363822,23,-0.012484850361943245
1781426625.8431518,26,-0.012103399261832237
1781426626.9710877,27,-0.011940724216401577
1781426628.065746,28,-0.011760922148823738
1781426629.1541457,29,-0.011661084368824959
1781426630.2711778,30,-0.011511232703924179
1781426633.6615493,33,-0.010799049399793148
1781426634.7431302,34,-0.0104402219876647
1781426636.9628773,36,-0.010123910382390022
1781426638.0613759,37,-0.009846284985542297
1781426639.1831117,38,-0.009506972506642342
1781426640.277401,39,-0.009238407015800476
1781426641.4005973,40,-0.009016210213303566
1781426649.1719122,47,-0.007550835609436035
1781426650.260483,48,-0.007523380219936371
1781426651.362928,49,-0.00746558140963316
1781426652.47765,50,-0.00735774589702487
1781426653.5903726,51,-0.00725607480853796
1781426654.723335,52,-0.007082351483404636
1781426655.84546,53,-0.007122853305190802
1781426657.005076,54,-0.007136979606002569
1781426658.1579268,55,-0.007029198110103607
1781426660.4671924,57,-0.006906379014253616
1781426663.8752632,60,-0.006914355792105198
1781426664.9851403,61,-0.00683565204963088
1781426666.084388,62,-0.006653307005763054
1781426667.21775,63,-0.006485970225185156
1781426669.5569594,65,-0.00662043085321784
1781426670.6899307,66,-0.006582030560821295
1781426671.8095856,67,-0.006464076228439808
1781426672.9345634,68,-0.006603443529456854
1781426675.1541073,70,-0.006512449122965336
1781426676.295257,71,-0.006696817930787802
1781426678.5593574,73,-0.006732649635523558
1781426680.732678,75,-0.006556435488164425
1781426682.996548,77,-0.00666933786123991
1781426684.192432,78,-0.007080191280692816
1781426685.2833946,79,-0.00757225789129734
1781426686.383012,80,-0.007703102193772793
1781426688.6129591,82,-0.008962895721197128
1781426689.7179224,83,-0.009310077875852585
1781426691.9546876,85,-0.00966725591570139
1781426693.1263442,86,-0.009874261915683746
1781426694.248803,87,-0.009747691452503204
1781426696.4635205,89,-0.010577185079455376
1781426697.557647,90,-0.010852590203285217
1781426703.1256456,95,-0.012637278065085411
1781426707.6150026,99,-0.013210335746407509
1781426708.7665918,100,-0.01361903827637434
1781426712.1135468,103,-0.014986439608037472
1781426713.2299688,104,-0.01557467132806778
1781426715.4420364,106,-0.015703842043876648
1781426716.532734,107,-0.016079040244221687
1781426717.6176286,108,-0.015415559522807598
1781426718.7087595,109,-0.017666231840848923
1781426719.8128273,110,-0.015182586386799812
1781426720.9114096,111,-0.016049152240157127
1781426722.03168,112,-0.018009968101978302
1781426724.2445593,114,-0.018583981320261955
1781426725.3384778,115,-0.018920142203569412
1781426726.3998146,116,-0.018264515325427055
1781426730.7699246,120,-0.021274570375680923
1781426731.8429384,121,-0.026033353060483932
1781426736.2042937,125,-0.025797409936785698
1781426737.3108525,126,-0.030185040086507797
1781426739.5382602,128,-0.026839520782232285
1781426740.6175323,129,-0.026681240648031235
1781426741.7270222,130,-0.02616018056869507
1781426742.8722577,131,-0.02663026750087738
1781426743.9695325,132,-0.02532286010682583
1781426746.213019,134,-0.02515607699751854
1781426748.4091926,136,-0.02405880019068718
1781426749.5021691,137,-0.023464277386665344
1781426750.6266918,138,-0.023331498727202415
1781426751.780555,139,-0.022405778989195824
1781426756.1961627,143,-0.02069946378469467
1781426757.3321502,144,-0.020042099058628082
1781426758.44543,145,-0.019995780661702156
1781426759.5705948,146,-0.02029489353299141
1781426760.7171931,147,-0.01977452076971531
1781426764.1698446,150,-0.01944570615887642
1781426768.6490183,154,-0.018036724999547005
1781426770.895682,156,-0.016778580844402313
1781426771.964684,157,-0.01860828511416912
1781426774.1327498,159,-0.016618795692920685
1781426775.2267344,160,-0.01582229696214199
1781426777.431111,162,-0.016099251806735992
1781426778.5746102,163,-0.016639336943626404
1781426779.6534786,164,-0.013795129954814911
1781426781.89943,166,-0.016887567937374115
1781426784.1157424,168,-0.015410512685775757
1781426786.3137946,170,-0.014102701097726822
1781426787.4593575,171,-0.014339366927742958
1781426788.5360181,172,-0.014694015495479107
1781426790.7733188,174,-0.014231255277991295
1781426791.886547,175,-0.014246195554733276
1781426793.0262847,176,-0.014049763791263103
1781426794.1496205,177,-0.01383129134774208
1781426795.2589748,178,-0.014055161736905575
1781426797.461898,180,-0.013686771504580975
1781426798.582636,181,-0.01358969695866108
1781426799.7284036,182,-0.013479858636856079
1781426800.9004776,183,-0.012988689355552197
1781426802.0496404,184,-0.01290673017501831
1781426803.1798189,185,-0.012422315776348114
1781426804.3112888,186,-0.013022515922784805
1781426807.6483057,189,-0.011059952899813652
1781426808.7422001,190,-0.012492157518863678
1781426809.8434196,191,-0.01066771149635315
1781426810.9896579,192,-0.011469027027487755
1781426814.2856815,195,-0.010608352720737457
1781426817.603302,198,-0.010319279506802559
1781426818.7204785,199,-0.009230602532625198
1781426819.8396535,200,-0.008860627189278603
1781426822.0193462,202,-0.009360164403915405
1781426823.0830655,203,-0.01011756993830204
1781426824.2147777,204,-0.009810196235775948
1781426825.347022,205,-0.009143788367509842
1781426827.6438627,207,-0.009303883649408817
