Wall time,Step,Value
1781426596.6343052,0,-0.5778818726539612
1781426598.8669648,2,-5.884207725524902
1781426599.9879909,3,-5.922778129577637
1781426601.098712,4,-6.042376518249512
1781426606.797005,9,-5.908774375915527
1781426607.9300094,10,-5.903537273406982
1781426609.0359771,11,-5.862239360809326
1781426612.4161394,14,-5.778775215148926
1781426613.5105798,15,-5.71738862991333
1781426614.6289015,16,-5.768942356109619
1781426616.7818568,18,-5.7542548179626465
1781426617.868716,19,-5.6182427406311035
1781426618.991135,20,-5.586312770843506
1781426621.2256172,22,-5.5040602684021
1781426622.3695092,23,-5.494378566741943
1781426625.846469,26,-5.381759166717529
1781426626.975893,27,-5.367238998413086
1781426628.0691566,28,-5.33022403717041
1781426629.1586988,29,-5.2653374671936035
1781426630.2760136,30,-5.287118434906006
1781426633.6655824,33,-5.2004828453063965
1781426634.746435,34,-5.207620143890381
1781426636.9661825,36,-5.1846418380737305
1781426638.0665452,37,-5.1994123458862305
1781426639.1868687,38,-5.125171184539795
1781426640.2806969,39,-5.16510009765625
1781426641.4055722,40,-5.141524314880371
1781426649.176709,47,-5.062359809875488
1781426650.2641072,48,-5.0400919914245605
1781426651.3668084,49,-5.080988883972168
1781426652.4813645,50,-5.0500078201293945
1781426653.593843,51,-5.102318286895752
1781426654.7266722,52,-5.050418853759766
1781426655.8493757,53,-5.050008296966553
1781426657.0109708,54,-5.0365447998046875
1781426658.1614945,55,-5.0775604248046875
1781426660.4720526,57,-5.058909893035889
1781426663.8787704,60,-5.090731620788574
1781426664.9892082,61,-5.083369731903076
1781426666.087879,62,-5.045680999755859
1781426667.2212625,63,-5.0443878173828125
1781426669.5604587,65,-5.112432956695557
1781426670.6942692,66,-5.105294227600098
1781426671.8151429,67,-5.149539947509766
1781426672.939375,68,-5.15155553817749
1781426675.1575441,70,-5.171109199523926
1781426676.30208,71,-5.200284004211426
1781426678.5627813,73,-5.228785037994385
1781426680.736104,75,-5.223535537719727
1781426683.001743,77,-5.3929123878479
1781426684.196007,78,-5.386638641357422
1781426685.2877774,79,-5.495972633361816
1781426686.386441,80,-5.568626880645752
1781426688.6182811,82,-5.632728099822998
1781426689.7217736,83,-5.699269771575928
1781426691.9580488,85,-5.947291851043701
1781426693.1297529,86,-5.853775978088379
1781426694.2537746,87,-5.954166889190674
1781426696.4699397,89,-6.008392333984375
1781426697.56289,90,-6.097990036010742
1781426703.1321094,95,-6.518439769744873
1781426707.6205568,99,-7.034738540649414
1781426708.7998679,100,-7.139059066772461
1781426712.1177063,103,-7.4031500816345215
1781426713.2335825,104,-7.601454734802246
1781426715.4468787,106,-7.525620937347412
1781426716.5361204,107,-8.06673526763916
1781426717.6209123,108,-8.084169387817383
1781426718.712199,109,-8.458436965942383
1781426719.8180623,110,-8.178284645080566
1781426720.9147215,111,-8.334773063659668
1781426722.035104,112,-8.555010795593262
1781426724.2497857,114,-9.277944564819336
1781426725.3419588,115,-9.090798377990723
1781426726.4031734,116,-9.278435707092285
1781426730.7749546,120,-10.437200546264648
1781426731.8462582,121,-10.549114227294922
1781426736.2078052,125,-10.568859100341797
1781426737.314251,126,-10.897357940673828
1781426739.5434713,128,-10.053128242492676
1781426740.6207938,129,-10.270023345947266
1781426741.7333302,130,-9.94498062133789
1781426742.8771172,131,-9.762303352355957
1781426743.9738169,132,-9.527304649353027
1781426746.2171912,134,-8.937973022460938
1781426748.4141424,136,-8.757293701171875
1781426749.5056214,137,-8.355046272277832
1781426750.6320322,138,-8.400050163269043
1781426751.7853417,139,-7.967777729034424
1781426756.2291577,143,-6.897853374481201
1781426757.336263,144,-6.574122428894043
1781426758.4514754,145,-6.5032639503479
1781426759.5749574,146,-6.4226555824279785
1781426760.7228134,147,-5.985455513000488
1781426764.1747358,150,-5.389545440673828
1781426768.6535118,154,-4.335712432861328
1781426770.9009225,156,-3.6308348178863525
1781426771.9679925,157,-3.6528422832489014
1781426774.1377532,159,-3.112480401992798
1781426775.2618635,160,-2.911663770675659
1781426777.436537,162,-2.5257678031921387
1781426778.5805898,163,-2.4375836849212646
1781426779.6577773,164,-2.154789924621582
1781426781.9044917,166,-1.6834182739257812
1781426784.12088,168,-0.8112616539001465
1781426786.3464234,170,0.18507930636405945
1781426787.4627948,171,0.37976494431495667
1781426788.5413594,172,0.598691999912262
1781426790.7766976,174,1.2112741470336914
1781426791.8899076,175,1.4086170196533203
1781426793.0305772,176,1.5648621320724487
1781426794.153231,177,1.9560601711273193
1781426795.2623348,178,1.9066203832626343
1781426797.4677746,180,2.470872640609741
1781426798.587949,181,2.7084128856658936
1781426799.7338264,182,3.0703775882720947
1781426800.9060755,183,3.4580836296081543
1781426802.054574,184,3.5339250564575195
1781426803.1850622,185,3.7766273021698
1781426804.3167212,186,3.6238911151885986
1781426807.6520307,189,4.637598991394043
1781426808.7469513,190,4.687724590301514
1781426809.8467531,191,4.907282829284668
1781426810.9948668,192,5.119485378265381
1781426814.289808,195,5.4859232902526855
1781426817.6075134,198,6.333902359008789
1781426818.7253277,199,6.550651550292969
1781426819.8434842,200,6.658199310302734
1781426822.0225892,202,6.960712909698486
1781426823.0879695,203,7.093442916870117
1781426824.2180355,204,7.073734283447266
1781426825.3522513,205,7.231412410736084
1781426827.6485357,207,7.805710792541504
1781426828.7931073,208,8.032510757446289
1781426829.9310865,209,8.21903133392334
1781426832.200907,211,8.491021156311035
1781426834.4543283,213,8.849061012268066
1781426836.778602,215,9.336981773376465
1781426837.9318595,216,9.402054786682129
1781426840.2258248,218,9.580946922302246
1781426841.4155784,219,9.85801887512207
1781426842.5433872,220,9.771759986877441
1781426843.6519492,221,10.046852111816406
1781426844.7968295,222,10.304322242736816
1781426847.0620172,224,10.496209144592285
1781426848.2027938,225,10.65711498260498
1781426849.30469,226,10.814605712890625
1781426852.613438,229,11.318205833435059
1781426854.775936,231,11.445451736450195
1781426855.8762164,232,11.704538345336914
1781426858.1102417,234,11.951887130737305
1781426859.2188249,235,12.08140754699707
1781426860.3472598,236,12.290694236755371
1781426861.428833,237,12.441637992858887
1781426862.554139,238,12.226219177246094
1781426863.6850605,239,12.334270477294922
1781426865.9390793,241,12.865609169006348
1781426867.0108876,242,13.00696086883545
1781426869.1677613,244,12.936600685119629
1781426870.2686176,245,12.926010131835938
1781426871.3573325,246,13.35916519165039
1781426872.453908,247,13.18262767791748
1781426873.5547953,248,13.471210479736328
1781426874.6286385,249,13.320566177368164
1781426878.014642,252,14.219931602478027
1781426879.1518052,253,14.452875137329102
1781426880.3242404,254,14.508424758911133
1781426881.4481926,255,14.79973316192627
1781426883.7176938,257,15.040464401245117
1781426884.8458326,258,15.160234451293945
1781426885.9931653,259,15.249950408935547
1781426887.1127863,260,15.340116500854492
1781426889.394701,262,15.730913162231445
1781426890.5180702,263,15.86676025390625
1781426896.2235856,268,16.31729507446289
1781426898.5428674,270,16.584638595581055
1781426899.7085211,271,16.663230895996094
1781426903.093301,274,16.912630081176758
1781426904.1887422,275,16.837114334106445
1781426905.3061523,276,17.064929962158203
1781426907.5604393,278,17.437461853027344
1781426908.689861,279,17.390501022338867
1781426909.8300004,280,17.39061164855957
1781426910.961661,281,17.662546157836914
1781426912.0793428,282,17.735570907592773
1781426913.2200634,283,17.88882064819336
1781426914.3425057,284,17.958288192749023
1781426915.4336522,285,18.022348403930664
1781426917.6214542,287,18.28087615966797
1781426918.7068465,288,18.307865142822266
1781426920.8899221,290,18.25717544555664
1781426921.9434206,291,18.27092742919922
1781426926.404515,295,18.72979736328125
1781426927.4835472,296,19.000465393066406
1781426928.5986855,297,19.009687423706055
1781426929.728213,298,19.191205978393555
1781426930.8087687,299,19.26800537109375
1781426931.9141095,300,19.354900360107422
1781426936.5002923,304,19.462583541870117
1781426937.6246543,305,19.80960464477539
1781426938.75719,306,19.759668350219727
1781426939.8451128,307,19.877826690673828
1781426940.9593248,308,19.84919548034668
1781426942.0338163,309,19.973798751831055
1781426944.1934395,311,20.110231399536133
1781426945.3184395,312,20.16731071472168
1781426946.430476,313,20.249021530151367
1781426947.540499,314,20.025224685668945
1781426948.6507967,315,20.423490524291992
